Gap,WhiteRatingDiff
-400,4.21131520079667
-350,3.592043167316175
-300,2.8590011798046633
-250,2.2911963115954643
-200,1.806936813186813
-150,1.441189864770844
-100,0.98106073260585
-50,0.6173035142540761
0,0.2071545461897445
50,-0.12438669068248956
100,-0.5382041617183869
150,-0.8972705441340127
200,-1.2134539409591953
250,-1.4104685143288085
300,-1.726826920683389
350,-1.539628770301624
400,-1.4077720233587623
