RatingBand,Result,Share
<1200,1-0,0.49451754385964913
<1200,0-1,0.47092855493998154
<1200,1/2-1/2,0.034553901200369344
1200-1600,1-0,0.5029746603434722
1200-1600,0-1,0.46559226922606956
1200-1600,1/2-1/2,0.03143307043045831
1600-2000,1-0,0.49607194515711794
1600-2000,0-1,0.46625403225235207
1600-2000,1/2-1/2,0.037674022590529994
2000+,1-0,0.48736794562499314
2000+,0-1,0.4586767573283982
2000+,1/2-1/2,0.05395529704660872
