Gap,WhiteWinRate
-400,0.11117895468090162
-350,0.1786438676217618
-300,0.2123337628552673
-250,0.2532438326869712
-200,0.3001924999626938
-150,0.3535109162943606
-100,0.4079155496589015
-50,0.4651120021924447
0,0.5218085941029067
50,0.5794217666710572
100,0.6368561112017193
150,0.6892446021055959
200,0.7374129481023618
250,0.7806365766635658
300,0.8150315852303816
350,0.8479505062909841
400,0.9040320738917507
